20,4,12,21,15,11,5,17,21,19,2,7,14,5,10,9,12,17,6,5,0.112,0.341,0.177,0.267,6.247,26469.27,40.58,1
12,2,10,4,5,29,9,9,4,10,2,9,7,2,4,9,14,11,0,0,0.033,0.23,0.355,0.184,5.75,15171.57,18.15,1
9,3,10,9,4,24,8,9,11,9,2,7,5,5,5,11,8,14,0,1,0.032,0.24,0.305,0.188,6.218,16067.77,24.93,1
14,3,10,6,4,24,8,6,8,6,1,10,8,4,5,7,15,14,0,1,0.032,0.201,0.318,0.175,6.208,15706.10,24.82,1
8,3,9,10,4,25,8,9,9,8,3,4,5,7,4,10,10,15,0,1,0.033,0.242,0.288,0.19,5.689,15706.10,24.82,1
4,2,8,10,4,4,4,6,11,11,2,4,1,2,1,2,3,5,1,4,0.101,0.348,0.124,0.303,5.151,10459.87,28.53,1
19,3,20,10,13,12,3,9,9,19,2,7,10,9,8,11,11,14,4,2,0.097,0.313,0.205,0.256,4.497,21565.99,28.54,1
18,2,5,17,11,14,8,12,14,11,2,9,11,6,3,7,15,16,3,3,0.091,0.299,0.219,0.257,5.892,20541.12,34.34,1
9,3,10,10,14,10,7,21,16,13,4,15,7,7,9,12,13,10,3,6,0.116,0.337,0.221,0.181,9.081,23005.16,30.08,1
19,2,14,15,11,13,5,13,14,11,3,5,8,5,6,9,14,12,3,5,0.102,0.294,0.187,0.257,5.027,20761.19,33.31,1
31,3,13,7,5,7,2,13,10,12,7,9,4,5,9,14,5,14,1,4,0.057,0.28,0.194,0.326,6.127,18782.37,21.47,1
31,3,8,10,4,13,5,7,10,16,6,7,5,5,7,9,6,15,0,6,0.058,0.277,0.197,0.364,6.508,18304.84,27.24,1
29,2,8,14,3,12,2,10,8,20,4,14,2,5,7,13,8,11,2,5,0.056,0.285,0.229,0.374,4.848,19104.34,24.94,1
24,3,9,8,5,12,2,6,8,18,5,9,5,4,14,17,7,12,2,4,0.063,0.27,0.247,0.316,9.297,18808.26,45.76,1
17,1,10,6,11,13,3,6,3,16,2,6,9,10,9,6,10,10,3,2,0.105,0.314,0.222,0.268,5.236,16818.82,22.09,1
17,2,13,6,10,10,2,4,10,14,4,0,8,4,13,9,12,14,0,2,0.078,0.286,0.175,0.266,9.227,16894.29,39.16,1
8,3,16,10,10,12,6,6,13,15,4,6,6,7,4,7,7,11,2,3,0.096,0.301,0.199,0.237,5.032,17633.73,19.05,1
7,2,10,7,11,11,4,10,14,18,4,5,7,9,5,10,7,9,1,4,0.103,0.342,0.213,0.232,8.504,17553.15,27.86,1
8,4,8,10,8,9,4,7,19,18,2,8,4,6,3,11,4,13,0,6,0.092,0.342,0.211,0.25,8.798,17145.69,28.61,1
15,2,14,4,7,14,1,4,10,12,2,5,9,5,10,6,15,15,1,6,0.089,0.287,0.217,0.21,8.529,17077.15,30.23,1
15,2,14,4,7,14,1,4,10,12,2,5,9,5,10,6,15,15,1,6,0.089,0.287,0.217,0.21,8.529,17077.15,30.23,1
12,3,14,17,10,16,3,12,12,13,2,7,8,7,4,12,11,16,3,5,0.096,0.316,0.23,0.235,4.481,20626.87,34.14,1
